,MKTDEPTH_EVENT_TYPE,MKTDEPTH_EVENT_SUBTYPE,ID_BB_SEC_NUM_SRC,FEED_SOURCE,EID,MD_TABLE_CMD_RT,MD_BOOK_TYPE,MBO_WINDOW_SIZE,MD_BOOK_SUBTYPE,MD_PRICE_DISPLAY_FORMAT_TYPE_RT,MD_PRICE_DISPLAY_MIN_NUM_DECIMALS_RT,MD_PRICE_DISPLAY_MAX_NUM_DECIMALS_RT,MD_CURRENCY_RT,MD_QUOTED_CURRENCY_REALTIME,MD_ROUND_LOT_SIZE_RT,cid,MBL_WINDOW_SIZE,MBO_SEQNUM_RT,MD_MULTI_TICK_UPD_RT,MBL_ASK_POSITION_RT,MBL_ASK_RT,MBL_ASK_COND_CODE_RT,MBL_ASK_NUM_ORDERS_RT,MBL_ASK_SIZE_RT,MBL_TIME_RT,MBO_ASK_POSITION_RT,MBO_ASK_RT,MBO_ASK_BROKER_RT,MBO_ASK_COND_CODE_RT,MBO_ASK_SIZE_RT,MBO_TIME_RT,MBO_BID_POSITION_RT,MBO_BID_RT,MBO_BID_BROKER_RT,MBO_BID_COND_CODE_RT,MBO_BID_SIZE_RT,MBL_BID_POSITION_RT,MBL_BID_RT,MBL_BID_COND_CODE_RT,MBL_BID_NUM_ORDERS_RT,MBL_BID_SIZE_RT,MBO_ORDER_ID_RT
81,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,0.0,,,,,,2023-06-23 01:31:22.344000,,,,,,,,,,,,3.0,0.8199999928474426,,1.0,2000.0,
82,MARKET_BY_ORDER,BID,,,53714,DEL,,,,,,,,,,970 HK Equity.type=MBO,,26.0,,,,,,,,,,,,,2023-06-23 01:32:28.801000,2.0,0.8299999833106995,,,2000.0,,,,,,34017538
83,MARKET_BY_ORDER,BID,,,53714,ADD,,,,,,,,,,970 HK Equity.type=MBO,,27.0,,,,,,,,,,,,,2023-06-23 01:32:28.801000,2.0,0.8399999737739563,,,2000.0,,,,,,73135618
84,MARKET_BY_ORDER,BID,,,53714,DEL,,,,,,,,,,970 HK Equity.type=MBO,,28.0,,,,,,,,,,,,,2023-06-23 01:32:28.801000,1.0,0.8399999737739563,,,4000.0,,,,,,49535746
85,MARKET_BY_ORDER,BID,,,53714,ADD,,,,,,,,,,970 HK Equity.type=MBO,,29.0,,,,,,,,,,,,,2023-06-23 01:32:28.801000,2.0,0.8299999833106995,,,4000.0,,,,,,73136130
86,MARKET_BY_ORDER,BID,,,53714,DEL,,,,,,,,,,970 HK Equity.type=MBO,,30.0,,,,,,,,,,,,,2023-06-23 01:32:28.802000,2.0,0.8299999833106995,,,4000.0,,,,,,73136130
87,MARKET_BY_ORDER,BID,,,53714,ADD,,,,,,,,,,970 HK Equity.type=MBO,,31.0,,,,,,,,,,,,,2023-06-23 01:32:28.802000,1.0,0.8500000238418579,,,4000.0,,,,,,73136386
88,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,1.0,,,,,,2023-06-23 01:32:28.801000,,,,,,,,,,,,2.0,0.8199999928474426,,1.0,2000.0,
89,MARKET_BY_LEVEL,BID,,,14112,REPLACE_CLEAR,,,,,,,,,,970 HK Equity.type=MBL,,,0.0,,,,,,2023-06-23 01:32:28.801000,,,,,,,,,,,,3.0,0.0,,0.0,0.0,
90,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,0.0,,,,,,2023-06-23 01:32:28.801000,,,,,,,,,,,,1.0,0.8399999737739563,,2.0,6000.0,
91,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,0.0,,,,,,2023-06-23 01:32:28.801000,,,,,,,,,,,,1.0,0.8399999737739563,,1.0,2000.0,
92,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,1.0,,,,,,2023-06-23 01:32:28.801000,,,,,,,,,,,,2.0,0.8299999833106995,,1.0,4000.0,
