,Time,Stock_code,Market_subtype,Price,Size,Broker Code,Order_ID,MBO_TIME_RT
0,"""09:30:36.6103""",2660,BID,1.21000003814697,2000.0,"""2074""","""31323438373638322020""","""2021-08-12T09:30:36.454+08:00"""
1,"""09:30:36.7109""",2660,ASK,1.35999965667725,2000.0,"""2074""","""31323438373432362020""","""2021-08-12T09:30:36.554+08:00"""
2,"""09:35:01.5897""",2660,ASK,1.27999973297119,4000.0,"""2074""","""31313132353530362020""","""2021-08-12T09:35:01.424+08:00"""
3,"""09:35:01.5927""",2660,BID,1.27000045776367,10000.0,"""7357""","""36373733353239382020""","""2021-08-12T09:35:01.425+08:00"""
4,"""09:35:01.5947""",2660,BID,1.27000045776367,26000.0,Unknown,"""31363232383432393020""","""2021-08-12T09:35:01.426+08:00"""
5,"""09:35:01.5947""",2660,BID,1.27000045776367,48000.0,Unknown,"""31363232383638353020""","""2021-08-12T09:35:01.427+08:00"""
6,"""09:35:01.7134""",2660,BID,1.28999996185303,34000.0,Unknown,"""31363233383539323220""","""2021-08-12T09:35:01.554+08:00"""
7,"""09:35:01.7174""",2660,BID,1.28999996185303,6000.0,Unknown,"""31363233383734353820""","""2021-08-12T09:35:01.559+08:00"""
8,"""09:35:01.7184""",2660,ASK,1.28999996185303,6000.0,"""8578""","""31373138313935342020""","""2021-08-12T09:35:01.559+08:00"""
9,"""09:35:02.8574""",2660,BID,1.27000045776367,32000.0,Unknown,"""31363232383838393820""","""2021-08-12T09:35:02.699+08:00"""
10,"""09:35:02.8583""",2660,ASK,1.35999965667725,30000.0,"""7357""","""32323038343836362020""","""2021-08-12T09:35:02.699+08:00"""
11,"""09:35:02.8593""",2660,BID,1.27999973297119,48000.0,Unknown,"""31363330333636373420""","""2021-08-12T09:35:02.700+08:00"""
12,"""09:35:02.8613""",2660,ASK,1.35000038146973,18000.0,Unknown,"""31363330333639333020""","""2021-08-12T09:35:02.700+08:00"""
13,"""09:35:02.8613""",2660,BID,1.27000045776367,48000.0,Unknown,"""31363330333734343220""","""2021-08-12T09:35:02.700+08:00"""
14,"""09:35:04.0320""",2660,ASK,1.35999965667725,28000.0,Unknown,"""31363330333736393820""","""2021-08-12T09:35:03.874+08:00"""
15,"""09:37:47.2366""",2660,ASK,1.39999961853027,10000.0,"""8592""","""31363332373137302020""","""2021-08-12T09:37:47.077+08:00"""
16,"""09:37:53.9735""",2660,ASK,1.43000030517578,10000.0,"""8592""","""32343331353434333420""","""2021-08-12T09:37:53.822+08:00"""
17,"""09:40:39.5492""",2660,ASK,1.43000030517578,16000.0,"""8592""","""32343635343631373820""","""2021-08-12T09:40:39.389+08:00"""
18,"""09:40:43.2858""",2660,BID,1.28999996185303,4000.0,Unknown,"""33303732383131353420""","""2021-08-12T09:40:43.129+08:00"""
19,"""09:40:43.2858""",2660,ASK,1.28999996185303,4000.0,Unknown,"""33303732373139333820""","""2021-08-12T09:40:43.129+08:00"""
20,"""09:40:43.2936""",2660,BID,1.27999973297119,18000.0,Unknown,"""33303732383339373020""","""2021-08-12T09:40:43.134+08:00"""
21,"""09:43:37.5199""",2660,ASK,1.35999965667725,22000.0,"""7357""","""33303534363137363220""","""2021-08-12T09:43:37.365+08:00"""
22,"""09:43:46.8544""",2660,ASK,1.35000038146973,20000.0,"""7357""","""33373538313434303220""","""2021-08-12T09:43:46.699+08:00"""
23,"""09:43:46.8544""",2660,ASK,1.35000038146973,6000.0,"""9094""","""31363233383737313420""","""2021-08-12T09:43:46.699+08:00"""
24,"""09:44:14.4825""",2660,ASK,1.34000015258789,18000.0,"""7357""","""33373831343334393020""","""2021-08-12T09:44:14.324+08:00"""
25,"""09:45:30.4360""",2660,BID,1.27999973297119,48000.0,"""7357""","""31363330333832313020""","""2021-08-12T09:45:30.281+08:00"""
26,"""09:48:27.2063""",2660,ASK,1.32999992370605,22000.0,"""7357""","""33383933323833383620""","""2021-08-12T09:48:27.047+08:00"""
