,Time,Stock_code,Market_type,Fragment_type,Market_subtype,MD_TABLE_CMD_RT,MBO_SEQNUM_RT,MBO_ORDER_ID_RT,MBO_ASK_POSITION_RT,MBO_ASK_RT,MBO_ASK_SIZE_RT,MBO_ASK_BROKER_RT,MBO_BID_POSITION_RT,MBO_BID_RT,MBO_BID_SIZE_RT,MBO_BID_BROKER_RT,MBO_TIME_RT,MBO_BID_COND_CODE_RT,MBO_ASK_COND_CODE_RT
57,"""09:20:46.4219""",2660,MBO,NONE,BID,ADD,8.0,"""32343032353632202020""",,,,,3.0,1.25,50000.0,,"""2021-08-12T09:20:46.234+08:00""","""""",
58,"""09:20:46.4219""",2660,MBO,NONE,BID,ADD,9.0,"""39323630303334202020""",,,,,4.0,1.23999977111816,8000.0,,"""2021-08-12T09:20:46.234+08:00""","""""",
59,"""09:20:46.4299""",2660,MBO,NONE,BID,ADD,10.0,"""31343938313134202020""",,,,,5.0,1.23000049591064,100000.0,,"""2021-08-12T09:20:46.234+08:00""","""""",
60,"""09:20:46.4299""",2660,MBO,NONE,BID,ADD,11.0,"""31343939333934202020""",,,,,6.0,1.22000026702881,100000.0,,"""2021-08-12T09:20:46.234+08:00""","""""",
61,"""09:20:46.4299""",2660,MBO,NONE,BID,ADD,12.0,"""31323438373638322020""",,,,,7.0,1.21000003814697,2000.0,,"""2021-08-12T09:20:46.234+08:00""","""""",
62,"""09:20:46.4299""",2660,MBO,NONE,BID,ADD,13.0,"""34383035333738202020""",,,,,8.0,1.19999980926514,20000.0,,"""2021-08-12T09:20:46.234+08:00""","""""",
63,"""09:20:46.4299""",2660,MBO,NONE,BID,ADD,14.0,"""36383533383930202020""",,,,,9.0,1.19999980926514,2000.0,,"""2021-08-12T09:20:46.234+08:00""","""""",
64,"""09:20:46.4299""",2660,MBO,NONE,BID,ADD,15.0,"""39363639383930202020""",,,,,10.0,1.15999984741211,4000.0,,"""2021-08-12T09:20:46.234+08:00""","""""",
65,"""09:20:46.4299""",2660,MBO,NONE,BID,ADD,16.0,"""32333439383236202020""",,,,,11.0,1.14999961853027,16000.0,,"""2021-08-12T09:20:46.234+08:00""","""""",
66,"""09:20:46.4299""",2660,MBO,NONE,BID,ADD,17.0,"""34353734373232202020""",,,,,12.0,1.14999961853027,16000.0,,"""2021-08-12T09:20:46.234+08:00""","""""",
67,"""09:20:46.4299""",2660,MBO,NONE,BID,ADD,18.0,"""34353431313836202020""",,,,,13.0,1.10999965667725,100000.0,,"""2021-08-12T09:20:46.234+08:00""","""""",
68,"""09:30:03.2715""",2660,MBO,NONE,ASK,ADD,19.0,"""31363332373137302020""",4.0,1.39999961853027,10000.0,,,,,,"""2021-08-12T09:30:03.118+08:00""",,""""""
69,"""09:30:03.4715""",2660,TOP,NONE,ASK,REPLACE,,,4.0,1.39999961853027,0.0,"""8592""",,,,,"""2021-08-12T09:30:03.000+08:00""",,""""""
70,"""09:30:04.1710""",2660,MBO,NONE,BID,ADD,20.0,"""31363639363833342020""",,,,,10.0,1.19999980926514,12000.0,,"""2021-08-12T09:30:04.010+08:00""","""""",
71,"""09:30:04.1790""",2660,MBO,NONE,BID,ADD,21.0,"""31363639383337302020""",,,,,3.0,1.26000022888184,20000.0,,"""2021-08-12T09:30:04.010+08:00""","""""",
72,"""09:30:04.2673""",2660,TOP,NONE,BID,REPLACE,,,,,,,3.0,1.26000022888184,0.0,"""2310""","""2021-08-12T09:30:04.000+08:00""","""""",
73,"""09:30:04.2673""",2660,TOP,NONE,BID,REPLACE,,,,,,,4.0,1.25,0.0,""" 249""","""2021-08-12T09:30:04.000+08:00""","""""",
74,"""09:30:04.2673""",2660,TOP,NONE,BID,REPLACE,,,,,,,5.0,1.23999977111816,0.0,"""6699""","""2021-08-12T09:30:04.000+08:00""","""""",
75,"""09:30:04.2673""",2660,TOP,NONE,BID,REPLACE,,,,,,,6.0,1.23000049591064,0.0,"""6699""","""2021-08-12T09:30:04.000+08:00""","""""",
76,"""09:30:04.2673""",2660,TOP,NONE,BID,REPLACE,,,,,,,7.0,1.22000026702881,0.0,"""6699""","""2021-08-12T09:30:04.000+08:00""","""""",
77,"""09:30:04.2673""",2660,TOP,NONE,BID,REPLACE,,,,,,,8.0,1.21000003814697,0.0,"""2074""","""2021-08-12T09:30:04.000+08:00""","""""",
78,"""09:30:04.2673""",2660,TOP,NONE,BID,REPLACE,,,,,,,9.0,1.19999980926514,0.0,"""1836""","""2021-08-12T09:30:04.000+08:00""","""""",
79,"""09:30:04.2673""",2660,TOP,NONE,BID,REPLACE,,,,,,,10.0,1.19999980926514,0.0,"""8306""","""2021-08-12T09:30:04.000+08:00""","""""",
80,"""09:30:04.2673""",2660,TOP,NONE,BID,REPLACE,,,,,,,11.0,1.19999980926514,0.0,"""2310""","""2021-08-12T09:30:04.000+08:00""","""""",
81,"""09:30:04.2673""",2660,TOP,NONE,BID,REPLACE,,,,,,,12.0,1.15999984741211,0.0,"""6699""","""2021-08-12T09:30:04.000+08:00""","""""",
82,"""09:30:04.2673""",2660,TOP,NONE,BID,REPLACE,,,,,,,13.0,1.15000057220459,0.0,"""8730""","""2021-08-12T09:30:04.000+08:00""","""""",
83,"""09:30:04.2673""",2660,TOP,NONE,BID,REPLACE,,,,,,,14.0,1.15000057220459,0.0,"""1836""","""2021-08-12T09:30:04.000+08:00""","""""",
84,"""09:30:04.2673""",2660,TOP,NONE,BID,REPLACE,,,,,,,15.0,1.11000061035156,0.0,"""6425""","""2021-08-12T09:30:04.000+08:00""","""""",
