Timestamp,BrokerID,Price,Side,Size,Action,Position,Condition Codes,Broker Name,Trade Type
2023-06-26 10:31:04.573000,5999,2.6,ASK,9000.0,New Order,11.0,,China Innovation Market Service Company Limited,
2023-06-26 10:31:05.579000,1172,2.59,ASK,5000.0,Trade,1.0,,Huatai Financial Holdings (Hong Kong) Limited,Passive
2023-06-26 10:31:05.607000,2079,2.54,BID,10000.0,Removed Order,18.0,,Barclays Capital Asia Limited,
2023-06-26 10:31:05.607000,2079,2.57,BID,10000.0,New Order,2.0,,Barclays Capital Asia Limited,
2023-06-26 10:31:05.607000,2079,2.63,ASK,14000.0,Removed Order,23.0,,Barclays Capital Asia Limited,
2023-06-26 10:31:05.638000,5337,2.59,ASK,1000.0,New Order,6.0,,J.P. Morgan Broking (Hong Kong) Limited,
2023-06-26 10:31:05.662000,1172,2.59,ASK,2000.0,Trade,1.0,,Huatai Financial Holdings (Hong Kong) Limited,Passive
2023-06-26 10:31:24.279000,4107,2.59,ASK,1000.0,Removed Order,4.0,,BNP Paribas Securities (Asia) Limited,
2023-06-26 10:31:24.279000,2428,2.61,ASK,1000.0,Removed Order,17.0,,Barclays Capital Asia Limited,
2023-06-26 10:31:24.298000,2079,2.57,BID,10000.0,Removed Order,2.0,,Barclays Capital Asia Limited,
2023-06-26 10:31:24.298000,2079,2.54,BID,10000.0,New Order,18.0,,Barclays Capital Asia Limited,
2023-06-26 10:31:24.298000,2077,2.66,ASK,14000.0,Removed Order,32.0,,Barclays Capital Asia Limited,
2023-06-26 10:31:24.345000,3436,2.59,ASK,1000.0,New Order,6.0,,Goldman Sachs (Asia) Securities Limited,
2023-06-26 10:31:30.806000,3436,2.59,ASK,1000.0,New Order,7.0,,Goldman Sachs (Asia) Securities Limited,
2023-06-26 10:31:35.748000,1172,2.59,ASK,5000.0,Trade,1.0,,Huatai Financial Holdings (Hong Kong) Limited,Passive
2023-06-26 10:31:35.801000,1172,2.59,ASK,1000.0,Trade,1.0,,Huatai Financial Holdings (Hong Kong) Limited,Passive
2023-06-26 10:31:54.428000,2457,2.47,BID,100000.0,Removed Order,39.0,,Futu Securities International (Hong Kong) Limited,
2023-06-26 10:32:05.421000,1172,2.59,ASK,5000.0,Trade,1.0,,Huatai Financial Holdings (Hong Kong) Limited,Passive
2023-06-26 10:32:05.569000,1172,2.59,ASK,1000.0,Trade,1.0,,Huatai Financial Holdings (Hong Kong) Limited,Passive
2023-06-26 10:32:29.419000,3436,2.59,ASK,1000.0,Removed Order,4.0,,Goldman Sachs (Asia) Securities Limited,
2023-06-26 10:32:29.430000,2079,2.54,BID,10000.0,Removed Order,18.0,,Barclays Capital Asia Limited,
2023-06-26 10:32:29.430000,2079,2.57,BID,10000.0,New Order,2.0,,Barclays Capital Asia Limited,
2023-06-26 10:32:29.430000,4107,2.63,ASK,14000.0,Removed Order,27.0,,BNP Paribas Securities (Asia) Limited,
2023-06-26 10:32:29.432000,5342,2.57,BID,21000.0,New Order,3.0,,J.P. Morgan Broking (Hong Kong) Limited,
2023-06-26 10:32:35.686000,5346,2.59,BID,5000.0,New Order,1.0,,J.P. Morgan Broking (Hong Kong) Limited,
2023-06-26 10:32:35.686000,5346,2.59,BID,5000.0,Trade,1.0,,J.P. Morgan Broking (Hong Kong) Limited,Active
2023-06-26 10:32:35.686000,1172,2.59,ASK,5000.0,Trade,1.0,,Huatai Financial Holdings (Hong Kong) Limited,Passive
2023-06-26 10:32:35.687000,2079,2.57,BID,12000.0,New Order,4.0,,Barclays Capital Asia Limited,
