,Timestamp,BrokerID,Price,Side,Size,Action,Position,Condition Codes,Broker Name,Trade Type,,
23,7/3/2023 09:20:04.254,1836,0.45,BID,20000,New Order,10,,Instinet Pacific Limited,,,
24,7/3/2023 09:20:04.254,6106,0.445,BID,4000,New Order,11,,Guotai Junan Securities (Hong Kong) Limited,,,
25,7/3/2023 09:20:04.254,6107,0.44,BID,6000,New Order,12,,Guotai Junan Securities (Hong Kong) Limited,,,
26,7/3/2023 09:20:04.254,1836,0.435,BID,30000,New Order,13,,Instinet Pacific Limited,,,
27,7/3/2023 09:20:04.254,1836,0.43,BID,40000,New Order,14,,Instinet Pacific Limited,,,
28,7/3/2023 09:20:04.254,1836,0.43,BID,40000,New Order,15,,Instinet Pacific Limited,,,
29,7/3/2023 09:20:04.254,2290,0.43,BID,100000,New Order,16,,One China Securities Limited,,,
30,7/3/2023 09:20:04.254,1836,0.42,BID,30000,New Order,17,,Instinet Pacific Limited,,,
31,7/3/2023 09:30:00.035,6698,0.4,BID,100000,New Order,18,,Interactive Brokers Hong Kong Limited,,,
32,7/3/2023 09:30:00.148,8307,0.55,ASK,200000,New Order,15,,Futu Securities International (Hong Kong) Limited,,,
33,7/3/2023 09:30:00.861,5666,0.52,ASK,100000,New Order,14,,OCBC Securities Brokerage (Hong Kong) Limited,,,
34,7/3/2023 09:30:02.988,2578,0.54,ASK,24000,New Order,16,,uSmart Securities Limited,,,
35,7/3/2023 09:30:02.988,2578,0.59,ASK,24000,New Order,18,,uSmart Securities Limited,,,
36,7/3/2023 09:30:02.989,2578,0.45,BID,20000,New Order,11,,uSmart Securities Limited,,,
37,7/3/2023 09:30:04.042,6698,0.55,ASK,18000,New Order,18,,Interactive Brokers Hong Kong Limited,,,
38,7/3/2023 09:30:04.516,174,0.55,ASK,50000,New Order,19,,Long Bridge HK Limited,,,
39,7/3/2023 09:30:05.061,8467,0.57,ASK,285000,New Order,20,,Futu Securities International (Hong Kong) Limited,,,
40,7/3/2023 09:30:05.071,8461,0.58,ASK,2222000,New Order,21,,Futu Securities International (Hong Kong) Limited,,,
41,7/3/2023 09:30:41.005,1836,0.4,BID,30000,New Order,20,,Instinet Pacific Limited,,,
42,7/3/2023 09:30:41.006,1836,0.4,BID,20000,New Order,21,,Instinet Pacific Limited,,,
43,7/3/2023 09:30:41.023,1836,0.4,BID,40000,New Order,22,,Instinet Pacific Limited,,,
44,7/3/2023 09:31:03.704,6104,0.475,ASK,2000,Trade,1,,Guotai Junan Securities (Hong Kong) Limited,Passive,,
45,7/3/2023 09:31:11.483,4129,0.475,ASK,1000,Trade,1,,Hung Sing Securities Limited,Passive,,
46,7/3/2023 09:31:18.172,4129,0.475,ASK,2000,Trade,1,,Hung Sing Securities Limited,Passive,,
47,7/3/2023 09:31:28.730,5347,0.47,BID,4000,New Order,2,,J.P. Morgan Broking (Hong Kong) Limited,,,
48,7/3/2023 09:31:30.791,4129,0.475,ASK,2000,Trade,1,,Hung Sing Securities Limited,Passive,,
49,7/3/2023 09:31:38.356,2992,0.47,BID,1000,New Order,3,,Zhongtai International Securities Limited,,,
50,7/3/2023 09:32:10.668,488,0.47,BID,500000,New Order,4,,Essence International Securities (Hong Kong) Limited,,,
51,7/3/2023 09:34:23.842,2519,0.475,ASK,29000,Removed Order,3,,Yue Xiu Securities Company Limited,,,
52,7/3/2023 09:34:23.903,8293,0.48,ASK,29000,New Order,5,,Yue Xiu Securities Company Limited,,,
53,7/3/2023 09:37:07.291,2992,0.47,BID,1000,Removed Order,3,,Zhongtai International Securities Limited,,,
54,7/3/2023 09:37:14.128,6107,0.47,BID,6000,Trade,1,,Guotai Junan Securities (Hong Kong) Limited,,,
55,7/3/2023 09:37:14.128,5347,0.47,BID,4000,Trade,1,,J.P. Morgan Broking (Hong Kong) Limited,,,
56,7/3/2023 09:37:14.128,488,0.475,BID,3000,New Order,1,,Essence International Securities (Hong Kong) Limited,,,
57,7/3/2023 09:37:14.128,488,0.475,BID,3000,Trade,1,,Essence International Securities (Hong Kong) Limited,,,
58,7/3/2023 09:37:14.128,4129,0.475,ASK,3000,Trade,1,,Hung Sing Securities Limited,,,
59,7/3/2023 09:37:17.762,4129,0.475,ASK,3000,Trade,1,,Hung Sing Securities Limited,,,
60,7/3/2023 09:37:21.331,5339,0.47,BID,4000,New Order,2,,J.P. Morgan Broking (Hong Kong) Limited,,,
61,7/3/2023 09:37:22.925,4129,0.475,ASK,2000,Trade,1,,Hung Sing Securities Limited,,,
62,7/3/2023 09:37:22.926,4129,0.475,ASK,1000,Trade,1,,Hung Sing Securities Limited,,,
63,7/3/2023 09:37:29.022,6104,0.48,ASK,6000,New Order,6,,Guotai Junan Securities (Hong Kong) Limited,,,
64,7/3/2023 09:37:59.190,4129,0.475,ASK,6000,Trade,1,,Hung Sing Securities Limited,,,
65,7/3/2023 09:37:59.190,8299,0.475,ASK,30000,Trade,1,,Yue Xiu Securities Company Limited,,,
66,7/3/2023 09:38:05.160,8291,0.47,BID,30000,New Order,3,,Yue Xiu Securities Company Limited,,,
67,7/3/2023 09:39:01.518,488,0.47,BID,100000,Trade,1,,Essence International Securities (Hong Kong) Limited,,,
68,7/3/2023 09:39:02.681,4821,0.47,BID,30000,New Order,4,,Valuable Capital Limited,,,
69,7/3/2023 09:39:06.799,2992,0.475,BID,10000,New Order,1,,Zhongtai International Securities Limited,,,
70,7/3/2023 09:39:11.291,5339,0.47,BID,4000,Removed Order,3,,J.P. Morgan Broking (Hong Kong) Limited,,,
71,7/3/2023 09:39:15.574,2992,0.475,BID,2000,New Order,2,,Zhongtai International Securities Limited,,,
72,7/3/2023 09:39:21.242,2992,0.475,BID,2000,Removed Order,2,,Zhongtai International Securities Limited,,,
73,7/3/2023 09:39:21.305,6101,0.47,BID,7000,New Order,5,,Guotai Junan Securities (Hong Kong) Limited,,,
74,7/3/2023 09:39:24.505,1799,0.475,BID,10000,New Order,2,,Bright Smart Securities International (H.K.) Limited,,,
75,7/3/2023 09:39:31.325,2992,0.475,BID,8000,Order Modified,1,,Zhongtai International Securities Limited,,,
76,7/3/2023 09:39:34.059,1799,0.475,BID,10000,New Order,3,,Bright Smart Securities International (H.K.) Limited,,,
77,7/3/2023 09:39:37.919,6105,0.48,ASK,2000,Trade,1,,Guotai Junan Securities (Hong Kong) Limited,,,
78,7/3/2023 09:39:47.903,6105,0.48,ASK,2000,Trade,1,,Guotai Junan Securities (Hong Kong) Limited,,,
79,7/3/2023 09:39:59.554,6105,0.48,ASK,2000,Trade,1,,Guotai Junan Securities (Hong Kong) Limited,,,
80,7/3/2023 09:40:07.174,1799,0.475,BID,20000,New Order,4,,Bright Smart Securities International (H.K.) Limited,,,
81,7/3/2023 09:40:08.665,8301,0.48,ASK,3000,Trade,1,,Futu Securities International (Hong Kong) Limited,,,
82,7/3/2023 09:40:08.665,8293,0.48,ASK,2000,Trade,1,,Yue Xiu Securities Company Limited,,,
83,7/3/2023 09:40:10.817,6105,0.475,BID,6000,New Order,5,,Guotai Junan Securities (Hong Kong) Limited,,,
84,7/3/2023 09:40:10.818,8293,0.48,ASK,3000,Trade,1,,Yue Xiu Securities Company Limited,,,
85,7/3/2023 09:40:18.086,2992,0.475,BID,1000,Trade,1,,Zhongtai International Securities Limited,,,
86,7/3/2023 09:40:27.053,2992,0.475,BID,1000,Trade,1,,Zhongtai International Securities Limited,,,
87,7/3/2023 09:40:29.186,6104,0.48,ASK,3000,Order Modified,2,,Guotai Junan Securities (Hong Kong) Limited,,,
88,7/3/2023 09:40:33.056,1799,0.475,BID,1000,Trade,1,,Bright Smart Securities International (H.K.) Limited,,,
89,7/3/2023 09:40:45.608,8293,0.48,ASK,2000,Trade,1,,Yue Xiu Securities Company Limited,,,
90,7/3/2023 09:40:48.561,2458,0.47,BID,5000,New Order,9,,Futu Securities International (Hong Kong) Limited,,,
91,7/3/2023 09:40:55.154,8293,0.48,ASK,2000,Trade,1,,Yue Xiu Securities Company Limited,,,
92,7/3/2023 09:42:02.526,8295,0.475,BID,30000,New Order,5,,Yue Xiu Securities Company Limited,,,
93,7/3/2023 09:42:35.077,8299,0.47,BID,30000,New Order,11,,Yue Xiu Securities Company Limited,,,
