Timestamp,BrokerID,Price,Side,Size,Action,Position,Condition Codes,Broker Name
07:45.6,5999,2.6,ASK,5000,Trade,1,,China Innovation Market Service Company Limited
07:50.0,8308,2.55,BID,3000,New Order,15,,Futu Securities International (Hong Kong) Limited
07:52.6,8305,2.59,BID,2000,Removed Order,2,,Futu Securities International (Hong Kong) Limited
07:52.6,5999,2.6,ASK,2000,Trade,1,,China Innovation Market Service Company Limited
07:54.0,6999,2.59,BID,1000,New Order,2,,China Investment Information Services Limited
07:57.6,1292,2.57,BID,5000,New Order,10,,CMB International Securities Limited
08:00.9,103,2.56,BID,4000,New Order,14,,Core Pacific - Yamaichi International (H.K.) Limited
08:04.3,9057,2.65,ASK,3000,Removed Order,22,,UBS Securities Hong Kong Limited
08:04.3,9057,2.64,ASK,3000,New Order,21,,UBS Securities Hong Kong Limited
08:04.4,107,2.55,BID,5000,New Order,18,,Core Pacific - Yamaichi International (H.K.) Limited
08:13.4,5999,2.6,ASK,70000,Trade,1,,China Innovation Market Service Company Limited
08:13.4,2045,2.59,BID,7000,New Order,3,,Barclays Capital Asia Limited
08:13.4,8302,2.59,BID,173000,New Order,4,,Futu Securities International (Hong Kong) Limited
08:13.5,5999,2.6,ASK,3000,Trade,1,,China Innovation Market Service Company Limited
08:13.5,5999,2.6,ASK,1000,Trade,1,,China Innovation Market Service Company Limited
08:13.5,5999,2.6,ASK,18000,Trade,1,,China Innovation Market Service Company Limited
08:13.5,8302,2.59,BID,173000,Removed Order,4,,Futu Securities International (Hong Kong) Limited
08:13.6,9057,2.64,ASK,3000,Removed Order,21,,UBS Securities Hong Kong Limited
08:13.6,9057,2.63,ASK,3000,New Order,17,,UBS Securities Hong Kong Limited
08:13.7,8302,2.59,BID,170000,New Order,4,,Futu Securities International (Hong Kong) Limited
08:13.7,8302,2.59,BID,170000,Removed Order,4,,Futu Securities International (Hong Kong) Limited
08:14.9,102,2.67,ASK,3000,Removed Order,36,,Core Pacific - Yamaichi International (H.K.) Limited
08:14.9,102,2.61,ASK,3000,New Order,5,,Core Pacific - Yamaichi International (H.K.) Limited
08:17.4,5342,2.59,BID,20000,New Order,4,,J.P. Morgan Broking (Hong Kong) Limited
08:17.4,5999,2.6,ASK,200000,Trade,1,,China Innovation Market Service Company Limited
08:17.6,5999,2.6,ASK,82000,Trade,1,,China Innovation Market Service Company Limited
08:17.7,5999,2.6,ASK,19000,Trade,1,,China Innovation Market Service Company Limited
08:18.3,3646,2.67,ASK,3000,Removed Order,35,,Merrill Lynch Far East Limited
08:18.3,102,2.62,ASK,3000,New Order,10,,Core Pacific - Yamaichi International (H.K.) Limited
08:26.3,5999,2.6,ASK,1000,Trade,1,,China Innovation Market Service Company Limited
08:26.5,9057,2.63,ASK,3000,Removed Order,19,,UBS Securities Hong Kong Limited
08:26.5,9057,2.62,ASK,3000,New Order,11,,UBS Securities Hong Kong Limited
08:31.3,6387,2.6,ASK,18000,Removed Order,2,,Morgan Stanley Hong Kong Securities Limited
08:31.3,6387,2.61,ASK,17000,Removed Order,2,,Morgan Stanley Hong Kong Securities Limited
